recept,kategorija,podkategorija
5752,testenine,
12791,sirove jedi,
12127,sladice,pecivo
3170,sladice,ostalo
13063,predjedi,namazi
3106,sladice,pudingi
10029,mesne jedi,ostalo
14317,mesne jedi,ostalo
11682,sladice,pecivo
3026,sladice,piškoti
5842,sladice,pecivo
16725,sladice,ostalo
4155,kruh,
5962,morska hrana,ostalo
10709,sladice,pecivo
4097,mesne jedi,ostalo
10035,eksotika,ostale dežele
13904,mesne jedi,perutnina
14486,sladice,piškoti
5771,sladice,piškoti
5193,mesne jedi,svinjina
2027,sladice,pecivo
4470,mesne jedi,svinjina
4817,mesne jedi,perutnina
5234,omake,tople
3167,sladice,slano pecivo
12286,sladice,piškoti
14825,sladice,ostalo
1466,sladice,pecivo
153,kruh,
11608,testenine,
8091,ozimnica,slani shranki
13134,mesne jedi,perutnina
12684,sladice,piškoti
12365,eksotika,ostale dežele
6894,sladice,pecivo
14204,sladice,pecivo
14088,enolončnice,
190,zelenjavne jedi,
8255,zelenjavne jedi,
6347,sladice,pecivo
10113,sladice,pecivo
18548,sladice,pecivo
5066,enolončnice,
20044,sladice,torte
4405,juhe in zakuhe,zelenjavne juhe
12047,predjedi,tople
8098,ozimnica,sladki shranki
7276,zelenjavne jedi,
1697,sladice,piškoti
3646,sladice,ostalo
15962,kruh,
11995,sladice,pecivo
4333,sladice,pecivo
12017,sladice,ostalo
5051,testenine,
10765,mesne jedi,mešano meso
14273,eksotika,Kitajska
9510,ozimnica,pijače
14120,gobje jedi,
5731,mesne jedi,mešano meso
10848,predjedi,tople
763,juhe in zakuhe,ostale juhe
3507,mesne jedi,govedina
11055,ostale jedi,
865,sladice,torte
13450,predjedi,tople
13301,sladice,piškoti
11530,enolončnice,
11886,zelenjavne jedi,
4117,sladice,piškoti
12291,ozimnica,kompoti
16368,sladice,torte
6540,kruh,
9696,sladice,pecivo
9418,sladice,piškoti
13684,sladice,ostalo
13128,sladice,torte
12686,sladice,torte
4549,sladice,torte
14618,sladice,pecivo
4486,omake,tople
20384,sladice,ostalo
8160,zelenjavne jedi,
12158,sladice,ostalo
17076,sladice,ostalo
4664,sirove jedi,
14069,ozimnica,ostalo
16376,kruh,
3533,sladice,ostalo
1204,sladice,torte
2635,napitki,alkoholni
6814,sladice,piškoti
13307,kruh,
14171,juhe in zakuhe,zelenjavne juhe
5999,sladice,ostalo
12223,sladice,torte
11421,sladice,torte
3378,sladice,piškoti
8386,sladice,piškoti
3781,mesne jedi,sesekljano meso
18449,sladice,pecivo
8381,sladice,ostalo
17564,ozimnica,ostalo
9858,sladice,torte
20355,mesne jedi,perutnina
11061,sladice,pudingi
7021,sladice,sladoledi
13115,morska hrana,ribe
12002,sladice,piškoti
1211,ozimnica,pijače
8208,sladice,piškoti
3198,sladice,pecivo
1970,sladice,pecivo
11566,juhe in zakuhe,zelenjavne juhe
15058,sladice,piškoti
12654,sladice,torte
2441,sladice,ostalo
3201,ozimnica,pijače
17359,priloge,ostalo
12134,sladice,piškoti
10264,sladice,pecivo
853,sladice,pecivo
6752,zelenjavne jedi,
17225,sladice,pecivo
10176,sladice,ostalo
8111,sladice,piškoti
3313,sladice,pecivo
10802,sladice,ostalo
12738,napitki,brezalkoholni
8357,sladice,pecivo
5577,mesne jedi,govedina
9411,sladice,pecivo
5713,sirove jedi,
5145,morska hrana,ostalo
11966,kruh,
18332,sladice,torte
4411,sladice,pecivo
12253,sladice,pecivo
309,sladice,pecivo
13954,ozimnica,sladki shranki
13088,sladice,ostalo
9871,sladice,ostalo
5775,solate,
10379,sladice,pecivo
4349,ostale jedi,
4472,sladice,piškoti
1686,sladice,torte
2102,sladice,pecivo
11605,ozimnica,ostalo
9503,zelenjavne jedi,
2666,sladice,pecivo
11974,sladice,palačinke
756,enolončnice,
13006,ozimnica,ostalo
15941,enolončnice,
15416,sladice,pecivo
9778,zelenjavne jedi,
5024,juhe in zakuhe,zelenjavne juhe
12133,sladice,piškoti
11931,mesne jedi,sesekljano meso
17196,sladice,pecivo
11138,sladice,piškoti
4607,sladice,piškoti
16184,predjedi,tople
1256,sladice,ostalo
3649,juhe in zakuhe,zelenjavne juhe
7127,sladice,piškoti
6837,sladice,ostalo
466,gobje jedi,
11567,sladice,pecivo
10083,sladice,ostalo
10724,eksotika,Kitajska
8085,morska hrana,ostalo
13745,omake,tople
10752,sladice,piškoti
12547,sladice,potice
11349,morska hrana,ostalo
1752,morska hrana,ostalo
13682,mesne jedi,sesekljano meso
5898,sladice,ostalo
18695,priloge,ostalo
16671,sladice,ostalo
11131,sladice,pecivo
5824,ozimnica,slani shranki
12008,testenine,
5817,sladice,slano pecivo
5910,zelenjavne jedi,
5467,ozimnica,slani shranki
2684,zelenjavne jedi,
6707,sladice,ostalo
3637,sladice,piškoti
4344,sirove jedi,
14488,mesne jedi,perutnina
4491,juhe in zakuhe,mesne
9542,sladice,ostalo
5777,sladice,piškoti
7279,priloge,ostalo
13342,sladice,ostalo
14694,sladice,ostalo
1818,sladice,ostalo
14057,sladice,sladoledi
16252,predjedi,tople
10917,sladice,slano pecivo
9448,sladice,piškoti
4294,ozimnica,slani shranki
6562,juhe in zakuhe,zelenjavne juhe
7215,sladice,piškoti
12379,ostale jedi,
14754,priloge,krompir
15869,priloge,cmoki
13203,sladice,potice
6343,sladice,pecivo
1938,sladice,pecivo
17479,jajčne jedi,ostalo
6591,priloge,ostalo
5685,sladice,piškoti
14333,testenine,
2433,sladice,ostalo
1395,morska hrana,raki
5230,sladice,pecivo
6086,morska hrana,ribe
3109,sladice,ostalo
