id,naslov,objava,letoobjave,zahtevnost,priprava,kolicina,stmnenj,stfoto,zadnjafoto,letofoto,zdravajed
17887,Orehova potica,3.12.2012,,3,150,12 ljudi,43,4,25.12.2015,,
14228,Ekspresni smetanovi svaljki,3.10.2010,,1,30,3 osebe,59,4,26.6.2012,,
18042,Ajdov kruh z orehi,9.1.2013,,1,120,,19,8,1.2.2015,,
10124,Čokoladni piškoti z vanilijevo kremo,5.6.2007,,3,90,45 piškotov,46,14,25.12.2015,,
4768,Lepinja,10.3.2005,,1,60,2 kosa,113,10,17.7.2014,,
12329,Huda čokoladna pita,24.2.2009,,1,45,za en velik pekač za pito,52,14,9.4.2016,,
2108,Ferdinandovi kolački,28.10.2002,,1,,na osebo 3 - 4 kose,67,8,6.10.2016,,
17668,Čokoladni mafini,23.9.2012,,1,45,12 kosov,12,8,28.11.2014,,
17268,Sladki zobotrebec,8.6.2012,,1,15,,55,22,10.12.2015,,
12042,"""Ponarejena"" tičina masa",17.12.2008,,2,5,,197,40,17.5.2013,,
12220,Marmorni cheesecake,29.1.2009,,3,75,za eno tortico,59,8,6.1.2014,,
9693,Hitri skutni štruklji,12.2.2007,,1,,,72,4,22.5.2012,,
4534,Pehtranov biskvit,19.1.2005,,1,,za 4 osebe,58,6,4.6.2014,,
386,Prekmurska gibanica,21.6.2000,,3,,,24,8,2.12.2015,,
4964,Kruhki za žur,6.5.2005,,3,,Za 4 osebe,56,21,4.8.2013,,
14254,"Biskvit, skutna krema in jagode ali drugo sadje",10.10.2010,,2,60,4 lačne osebe,17,14,7.4.2014,,
16686,Zdrave kocke iz ajdove kaše,12.2.2012,,1,45,,40,8,29.1.2016,,Bolj zdrava jed
14873,Zeljanica - najboljša špinačna pita,12.3.2011,,2,60,,19,1,12.3.2011,,
11147,"Krompirjeva solata, posebno dobra",3.3.2008,,1,45,za 4 osebe,30,1,23.3.2008,,
3073,Krompirjeva musaka,28.12.2003,,1,,za 4 osebe,45,3,30.1.2009,,
6337,Schillerjeva torta,30.3.2006,,4,,,189,37,4.12.2014,,
6302,Panna cotta a la Mamamia,25.3.2006,,2,150,za štir osebe,99,18,22.11.2015,,
1860,Vampi po tržaško,17.6.2002,,1,,,29,5,24.10.2011,,
11986,Sanjska jogurtova torta z marelicami,4.12.2008,,2,45,,31,18,21.10.2014,,
6251,Jogurtova strjenka,18.3.2006,,2,240,,52,5,4.4.2016,,
8226,Vložene paprike,5.11.2006,,3,,9 - 10 kozarcev,15,3,8.9.2013,,
18195,"Muffini s čokolado, polnjeni z nutello",22.2.2013,,2,30,,15,3,26.9.2015,,
4709,Jogurtova torta,24.2.2005,,2,,,61,12,25.8.2014,,
6566,Zrezki v gobovi omaki,9.5.2006,,2,30,za štiri osebe,49,5,28.2.2016,,
12572,Božanske rezine,4.5.2009,,2,60,,39,7,20.11.2013,,
3830,Skutin zavitek,12.7.2004,,3,,,42,7,28.5.2016,,
18232,Potratna potica,3.3.2013,,3,180,,66,9,10.12.2015,,
9604,Piščančja obara - Ajmoht,25.1.2007,,2,,,34,2,21.4.2012,,
11424,Torta Bounty Nutella,19.5.2008,,2,60,,29,8,30.10.2014,,
19348,Vliti ajdov kruh z orehi,5.2.2014,,1,90,,66,12,19.4.2015,,
7116,Bela pita,5.9.2006,,3,60,,53,12,7.5.2012,,
866,Zelo dobra špinača ali blitva,13.3.2001,,1,,,33,2,24.8.2013,,
10358,Jagodno - borovničeva svečana torta,22.8.2007,,3,4+ ur,12 kosov,163,77,1.2.2016,,
8284,Dušeno rdeče zelje,17.11.2006,,1,30,,26,1,25.11.2006,,
1274,Bajadera - dobra,8.8.2001,,1,,,55,5,27.10.2011,,
2649,Ajdovi štruklji,6.6.2003,,3,,4,31,6,6.12.2012,,
1208,Hitra sirova omaka,26.6.2001,,1,,,24,2,13.7.2012,,
6850,"Cimetove ""rolce"" (Kanelbullar)",3.7.2006,,1,120,,86,26,20.9.2015,,
2943,Sanjske višnjeve rezine,25.10.2003,,3,,,35,8,22.6.2014,,
2028,Kokosovo pecivo,16.9.2002,,1,,,51,5,27.11.2014,,
14129,Čupavci - kokosove kocke,2.9.2010,,2,60,,11,4,14.2.2015,,
7129,Ruske kape,7.9.2006,,5,,,17,11,5.1.2015,,
14625,Navadni keksi,6.1.2011,,3,180,,8,9,27.3.2016,,
3695,Zelenjavna lazanja,21.5.2004,,1,,,25,4,1.11.2015,,
6943,Stročji fižol s korenčkom v omaki,29.7.2006,,2,,,51,13,18.5.2016,,
404,Sirovi štruklji,8.8.2000,,3,,,25,1,6.5.2007,,
14691,Marmorni kolač (iz jogurta),26.1.2011,,1,45,,22,5,18.10.2015,,
4256,Ciganski zrezki,1.11.2004,,1,,4 osebe,41,5,30.1.2014,,
4589,Goveji golaž,1.2.2005,,1,,6,35,4,27.3.2016,,
11315,Rižota s šparglji,13.4.2008,,2,30,2 osebi,20,5,14.4.2014,,
6841,"Jagodna torta, ki vedno uspe",2.7.2006,,3,,,22,11,8.5.2015,,
11367,"Piščanec ""Sezam, odpri se""",25.4.2008,,3,60,za 4 osebe,45,9,30.12.2013,,
4535,Tatarska omaka,20.1.2005,,1,,,25,2,8.9.2013,,
14851,Pecivo s kislo smetano in orehi,7.3.2011,,2,60,,11,3,11.1.2016,,
12332,Domači prijatelj tete Dragice,24.2.2009,,1,60,,27,11,19.1.2014,,
4702,Hitri kokosovi piškoti,22.2.2005,,1,,,42,7,3.12.2013,,
7167,Vložena pečena paprika,4.9.2006,,1,180,,54,6,13.10.2013,,
2405,Krompirjev golaž,17.2.2003,,1,,za 2 osebi,23,1,7.12.2007,,
14421,Tortilja po mehiško,16.11.2010,,2,75,za 4 osebe (8 tortilj),16,5,16.3.2016,,
18344,Krhki čokoladni piškoti,5.4.2013,,2,90,3 pekači,59,21,9.2.2015,,
5801,Jogurtovi žepki,2.12.2005,,2,,,42,5,8.6.2014,,
12807,Mesni polpeti iz pečice,28.7.2009,,1,45,,32,6,3.4.2016,,
16693,Božanski domači krofi,13.2.2012,,3,120,33 kosov,41,11,6.2.2016,,
17311,Brownie Cheesecake,20.6.2012,,2,180,1 pekač 25*15cm,40,9,9.6.2016,,
14477,Slana torta,2.12.2010,,2,45,1 srednji pekač  33x33cm,25,12,10.4.2015,,
