id,naslov,objava,avtor,spol,priprava,kolicina,stmnenj,stfoto,zadnjafoto,kategorija,podkategorija,zdravajed,letofoto,letoobjave,idavtorja
2535,Ledeni veter,10.4.2003,"{'id': 'ribaracarak', 'avtor': 'ribaracarak'}",ženska,120,,100,12,6.9.2016,, pecivo,0,2016,2003,ribaracarak
11585,Borovničevo pecivo,1.8.2008,"{'id': 'pqp1xni8z084fd2x', 'avtor': 'tenis/kuharca'}",ženska,75,,46,17,23.6.2015,, pecivo,0,2015,2008,pqp1xni8z084fd2x
6880,Jogurtovo poletno pecivo,10.7.2006,"{'id': 'klea', 'avtor': 'Klea'}",ženska,240,Tortni model ali srednje velik pekač,121,22,14.5.2015,, pecivo,0,2015,2006,klea
3158,Jagermaister tete Pehte,29.1.2004,"{'id': 'p8uwoece9l1wgagg', 'avtor': 'coco chanel'}",ženska,,,144,4,19.12.2010,, pijače,0,2010,2004,p8uwoece9l1wgagg
14346,"Enostavni čokoladni ""cookies""",30.10.2010,"{'id': 'kuharca87', 'avtor': 'kuharca87'}",ženska,30,ca. 20 kosov,63,16,1.2.2016,, piškoti,0,2016,2010,kuharca87
5737,Orehova rulada,18.11.2005,"{'id': 'maja85', 'avtor': 'Maja85'}",ženska,45,,153,15,29.1.2016,, pecivo,0,2016,2005,maja85
5428,Bučkina kremna juha,25.9.2005,"{'id': 'recepti', 'avtor': 'recepti'}",ženska,30,4 osebe,72,12,8.1.2015,, zelenjavne juhe,0,2015,2005,recepti
1957,Hitro pripravljene miške,26.8.2002,"{'id': 'mobng12', 'avtor': 'mobng12'}",ženska,30,,77,13,4.10.2016,, pecivo,0,2016,2002,mobng12
5600,Slastne Nušine rezine,16.10.2005,"{'id': 'ivonja', 'avtor': 'ivonja'}",ženska,30,,153,13,23.6.2015,, pecivo,0,2015,2005,ivonja
3387,Segedin golaž,13.3.2004,"{'id': 'riko', 'avtor': 'Riko'}",spol ni določen oz. marsovec,,,66,5,13.10.2013,,,0,2013,2004,riko
3081,Be mel,31.12.2003,"{'id': 'sparko', 'avtor': 'sparko'}",spol ni določen oz. marsovec,30,,154,9,11.1.2016,, pecivo,0,2016,2003,sparko
4104,Jabolčna pita,3.10.2004,"{'id': 'tjanca', 'avtor': 'Tjanca'}",ženska,90,,30,8,21.9.2013,, pecivo,0,2013,2004,tjanca
5692,"Hitro, dobro in poceni",7.11.2005,"{'id': 'riko', 'avtor': 'Riko'}",spol ni določen oz. marsovec,30,Sestavine za en pekač ca. 35 x 32,96,20,14.12.2014,, pecivo,0,2014,2005,riko
14759,Cupcakes,13.2.2011,"{'id': 'misolovka', 'avtor': 'Misolovka'}",ženska,90,6,76,64,10.3.2014,, torte,0,2014,2011,misolovka
3867,Princeske,22.7.2004,"{'id': 'pegasti', 'avtor': 'pegasti'}",ženska,60,16 - 20 kosov,136,42,15.5.2016,, pecivo,0,2016,2004,pegasti
3618,Palačinke,23.4.2004,"{'id': '77i7vcpswfcizk1e', 'avtor': 'Tanči'}",ženska,,,104,7,28.2.2015,, palačinke,0,2015,2004,77i7vcpswfcizk1e
1501,Bananine kocke,27.11.2001,"{'id': '387nsx1q7xkldeh5', 'avtor': 'Suzana Kolenc'}",ženska,45,,85,9,31.1.2013,, pecivo,0,2013,2001,387nsx1q7xkldeh5
2054,Zdrobovi cmoki,27.9.2002,"{'id': 'dalsi', 'avtor': 'dalsi'}",ženska,,6 cmokov,90,4,6.1.2014,, cmoki,0,2014,2002,dalsi
